RLYCODE,DIVCODE,SECTION,LINE,FRACTURE_DATE,FRACTURE_TIME,RAIL_SECTION,ANNUAL_GMT,SPEED,LAYINGDATE,GMTCARRIED,ASSETTYPE,USFDCLASSIFICATION,USFDTESTDATE,LRRR,KM,METER,AXLELOAD,TRACK_TYPE,STRAIGHT_CURVE,SERVICE_LIFE,FRACTURE_DATE,LAYINGDATE,DURATION
SWR,SBC,SBC-ASK,DN,2016-06-14-00.00.00,12:00,60KG,7.96,110,Jul-17,1.99,RAIL,GR,2015-11-18-00.00.00,LR,27,900,22.9,LWR,STRAIGHT,800,6/14/2016,7/1/2017,-382.00
SWR,SBC,SBC-ASK,DN,2016-03-16-00.00.00,6:30,60KG,7.96,110,Apr-17,3.98,RAIL,GR,2015-11-23-00.00.00,LR,35,244,22.9,LWR,CURVE,800,3/16/2016,4/1/2017,-381.00
NWR,JU,BKN-MTD,SL,2016-10-18-00.00.00,7:40,52KG,13.2,110,Nov-17,2.2,RAIL,GR,2016-10-12-00.00.00,RR,582,12,22.32,LWR,STRAIGHT,525,10/18/2016,11/1/2017,-379.00
SWR,SBC,SBC-ASK,DN,2016-02-16-00.00.00,1:00,60KG,7.96,110,Mar-17,4.64,RAIL,GR,2015-11-22-00.00.00,LR,33,274,22.9,LWR,STRAIGHT,800,2/16/2016,3/1/2017,-379.00
ER,ASN,STN-MDP,UP,2015-12-15-00.00.00,7:42,60KG,20.83,130,Dec-16,184,RAIL,GR,2015-11-30-00.00.00,LR,282,530,22.32,LWR,CURVE,800,12/15/2015,12/1/2016,-352.00
ECOR,KUR,KUR-NWP,DN,2016-11-25-00.00.00,3:30,60KG,31.95,130,Nov-17,23.94,SEJ,GR,2016-10-13-00.00.00,LR,565,567,25,LWR,CURVE,800,11/25/2016,11/1/2017,-341.00
SECR,BSP,JSG-CPH,UP,2017-01-28-00.00.00,9:20,60KG,72.43,130,Jan-18,561,RAIL,GR,2017-01-13-00.00.00,RR,519,663,25,LWR,STRAIGHT,800,1/28/2017,1/1/2018,-338.00
ER,HWH,BDC-KWAE Jn,DN,2016-12-29-00.00.00,5:20,60KG,11.43,110,Dec-17,9.23,SEJ,GR,2016-04-16-00.00.00,RR,29,766,22.32,LWR,STRAIGHT,800,12/29/2016,12/1/2017,-337.00
SWR,SBC,SBC-ASK,DN,2016-04-29-00.00.00,7:20,60KG,7.96,110,Apr-17,3.98,RAIL,GR,2015-11-22-00.00.00,LR,33,890,22.9,LWR,STRAIGHT,800,4/29/2016,4/1/2017,-337.00
ER,HWH,BDC-KWAE Jn,DN,2017-02-02-00.00.00,4:50,60KG,10.07,110,Jan-18,8.39,SEJ,GR,2017-01-25-00.00.00,RR,21,786,22.32,SWR,STRAIGHT,800,2/2/2017,1/1/2018,-333.00
ECOR,WAT,KRPU-KRDL,DN,2015-05-07-00.00.00,14:20,60KG,21.81,75,Apr-16,23.63,RAIL,GR,2015-04-04-00.00.00,LR,388,113,25,LWR,STRAIGHT,800,5/7/2015,4/1/2016,-330.00
ECOR,WAT,KRPU-KRDL,DN,2015-05-13-00.00.00,6:30,60KG,21.81,75,Apr-16,23.63,RAIL,GR,2015-03-27-00.00.00,RR,371,478,25,LWR,STRAIGHT,800,5/13/2015,4/1/2016,-324.00
ER,HWH,BDC-KWAE Jn,DN,2017-01-15-00.00.00,5:50,60KG,10.07,110,Dec-17,9.23,SEJ,GR,2016-05-18-00.00.00,RR,25,240,22.32,LWR,STRAIGHT,800,1/15/2017,12/1/2017,-320.00
ECOR,KUR,KUR-NWP,UP,2016-10-24-00.00.00,8:25,60KG,44.14,130,Sep-17,7.36,RAIL,GR,2016-10-19-00.00.00,LR,601,811,25,LWR,STRAIGHT,800,10/24/2016,9/1/2017,-312.00
SR,PGT,SRR - NTVT A,UP,2017-05-26-00.00.00,9:15,60KG,13.45,110,Apr-18,4.48,SEJ,OBS Joggled Plate,2017-03-14-00.00.00,RR,747,518,22.32,LWR,STRAIGHT,800,5/26/2017,4/1/2018,-310.00
SR,MAS,KPD - JTJ,DN,2020-01-28-00.00.00,5:15,60KG,22.37,130,Dec-20,3.36,SEJ,GR,2020-01-16-00.00.00,LR,145,998,22.9,LWR,STRAIGHT,800,1/28/2020,12/1/2020,-308.00
ECR,DHN,BRKA-GHD,UP,2019-06-29-00.00.00,10:14,60KG,70.12,100,May-20,48.04,SEJ,GR,2019-06-15-00.00.00,RR,201,1015,22.9,LWR,STRAIGHT,800,6/29/2019,5/1/2020,-307.00
SWR,SBC,SBC-ASK,DN,2016-06-03-00.00.00,0:50,60KG,7.96,110,Apr-17,3.98,RAIL,GR,2015-11-22-00.00.00,LR,34,30,22.9,LWR,STRAIGHT,800,6/3/2016,4/1/2017,-302.00
SWR,SBC,SBC-ASK,DN,2016-10-14-00.00.00,8:18,60KG,7.96,110,Aug-17,1.33,RAIL,GR,2016-06-23-00.00.00,RR,38,1,22.9,LWR,STRAIGHT,800,10/14/2016,8/1/2017,-291.00
ECOR,KUR,KUR-NWP,UP,2016-11-21-00.00.00,3:20,60KG,44.14,130,Sep-17,7.36,RAIL,GR,2016-09-24-00.00.00,LR,598,241,25,LWR,STRAIGHT,800,11/21/2016,9/1/2017,-284.00
NWR,JP,SWM-JP,SL,2017-06-22-00.00.00,7:00,60KG,15.49,110,Apr-18,5.16,SEJ,GR,2017-03-28-00.00.00,RR,99,455,22.9,LWR,STRAIGHT,800,6/22/2017,4/1/2018,-283.00
SWR,SBC,SBC-ASK,DN,2016-06-27-00.00.00,0:35,60KG,7.96,110,Apr-17,3.98,RAIL,GR,2016-06-21-00.00.00,LR,35,254,22.9,LWR,CURVE,800,6/27/2016,4/1/2017,-278.00
ECOR,WAT,NWP-VZM,UP,2016-06-18-00.00.00,7:30,60KG,45.37,130,Mar-17,34.03,RAIL,OBS Joggled Plate,2016-05-20-00.00.00,RR,792,550,25,LWR,STRAIGHT,800,6/18/2016,3/1/2017,-256.00
NCR,AGRA,MTJ-OKA,DN,2017-11-13-00.00.00,7:10,60KG,74.92,160,Jul-18,119.12,SEJ,GR,2017-10-11-00.00.00,LR,1398,463,22.9,LWR,CURVE,800,11/13/2017,7/1/2018,-230.00
ECOR,KUR,KUR-NWP,UP,2017-01-18-00.00.00,3:50,60KG,43.94,130,Sep-17,7.36,RAIL,GR,2016-10-19-00.00.00,RR,602,173,25,LWR,STRAIGHT,800,1/18/2017,9/1/2017,-226.00
SWR,SBC,YPR-YNK,SL,2016-01-21-00.00.00,17:15,52KG,0.74,100,Sep-16,0.8,RAIL,GR,2015-09-09-00.00.00,LR,7,500,22.32,LWR,STRAIGHT,525,1/21/2016,9/1/2016,-224.00
NCR,JHS,JHS GWL,DN,2016-11-20-00.00.00,10:55,60KG,72.43,130,Jul-17,18.11,RAIL,GR,2016-11-02-00.00.00,RR,1219,654,22.32,LWR,CURVE,800,11/20/2016,7/1/2017,-223.00
SWR,SBC,SBC-ASK,DN,2016-07-21-00.00.00,0:40,60KG,7.96,110,Mar-17,4.64,RAIL,GR,2016-06-21-00.00.00,LR,35,60,22.9,LWR,STRAIGHT,800,7/21/2016,3/1/2017,-223.00
NCR,JHS,AIT BZM,DN,2016-02-24-00.00.00,9:10,52KG,12.64,110,Oct-16,361.85,RAIL,GR,2015-12-29-00.00.00,LR,1269,795,22.32,LWR,STRAIGHT,525,2/24/2016,10/1/2016,-220.00
SWR,SBC,SBC-ASK,UP,2016-10-30-00.00.00,0:30,60KG,8.64,110,Jun-17,2.88,RAIL,GR,2016-05-21-00.00.00,LR,39,47,22.9,LWR,CURVE,800,10/30/2016,6/1/2017,-214.00
SWR,SBC,SBC-ASK,DN,2016-09-04-00.00.00,6:20,60KG,7.96,110,Apr-17,3.98,RAIL,GR,2016-06-20-00.00.00,RR,33,430,22.9,LWR,STRAIGHT,800,9/4/2016,4/1/2017,-209.00
SR,SA,ED - IGU,UP,2015-12-08-00.00.00,0:20,52KG,23.75,110,Jul-16,68.41,SEJ,GR,2015-10-20-00.00.00,RR,429,651,22.9,LWR,CURVE,525,12/8/2015,7/1/2016,-206.00
SWR,SBC,SBC-ASK,DN,2016-12-07-00.00.00,6:30,60KG,7.96,110,Jul-17,1.99,RAIL,GR,2016-06-16-00.00.00,RR,25,100,22.9,LWR,STRAIGHT,800,12/7/2016,7/1/2017,-206.00
NER,BSB,CPR DDA,DN,2017-11-11-00.00.00,7:30,52KG,27.71,110,Jun-18,62.4,SEJ,GR,2017-09-26-00.00.00,LR,362,230,22.9,SWR,STRAIGHT,525,11/11/2017,6/1/2018,-202.00
ECOR,WAT,KRPU-KRDL,UP,2015-09-13-00.00.00,6:40,60KG,,75,Apr-16,23.63,RAIL,GR,2015-07-21-00.00.00,LR,412,196,25,LWR,CURVE,800,9/13/2015,4/1/2016,-201.00
ECR,DHN,BRKA-GHD,UP,2016-03-15-00.00.00,6:00,60KG,58.57,100,Oct-16,17.83,RAIL,GR,2016-02-29-00.00.00,RR,186,330,22.9,LWR,STRAIGHT,800,3/15/2016,10/1/2016,-200.00
ECOR,KUR,KUR-NWP,UP,2017-02-16-00.00.00,5:30,60KG,43.94,130,Sep-17,7.36,RAIL,GR,2017-01-19-00.00.00,LR,602,163,25,LWR,STRAIGHT,800,2/16/2017,9/1/2017,-197.00
SWR,SBC,SBC-ASK,DN,2016-09-22-00.00.00,6:25,60KG,7.96,110,Apr-17,3.98,RAIL,GR,2016-06-20-00.00.00,RR,34,66,22.9,LWR,STRAIGHT,800,9/22/2016,4/1/2017,-191.00
ECR,SEE,SPJ - MFP,DN,2018-07-26-00.00.00,18:00,60KG,19.84,110,Feb-19,12.33,SEJ,GR,2018-06-05-00.00.00,RR,82,77,22.32,SWR,STRAIGHT,800,7/26/2018,2/1/2019,-190.00
SWR,SBC,SBC-ASK,DN,2016-12-26-00.00.00,14:00,60KG,7.96,110,Jul-17,1.99,RAIL,GR,2016-06-16-00.00.00,LR,23,420,22.9,LWR,STRAIGHT,800,12/26/2016,7/1/2017,-187.00
ECR,DHN,BRKA-GHD,UP,2016-01-04-00.00.00,7:15,60KG,58.57,100,Jul-16,31.2,RAIL,GR,2016-01-01-00.00.00,LR,218,510,22.9,SWR,STRAIGHT,800,1/4/2016,7/1/2016,-179.00
NCR,JHS,JHS GWL,DN,2017-01-04-00.00.00,5:55,60KG,72.43,130,Jul-17,36.22,RAIL,GR,2016-12-17-00.00.00,LR,1219,501,22.32,LWR,CURVE,800,1/4/2017,7/1/2017,-178.00
ECOR,KUR,KUR-NWP,UP,2017-03-08-00.00.00,5:10,60KG,43.94,130,Sep-17,7.36,RAIL,GR,2017-01-19-00.00.00,LR,602,176,25,LWR,STRAIGHT,800,3/8/2017,9/1/2017,-177.00
ECR,SPJ,MFP - SGL,UP,2018-04-12-00.00.00,10:45,60KG,,110,Oct-18,11.49,SEJ,GR,2018-04-02-00.00.00,LR,174,890,22.32,LWR,STRAIGHT,800,4/12/2018,10/1/2018,-172.00
SWR,SBC,SBC-ASK,UP,2016-12-22-00.00.00,7:35,60KG,8.64,110,Jun-17,2.88,RAIL,GR,2016-09-24-00.00.00,LR,38,984,22.9,LWR,CURVE,800,12/22/2016,6/1/2017,-161.00
SWR,SBC,SBC-ASK,DN,2016-09-22-00.00.00,6:40,60KG,7.96,110,Mar-17,4.64,RAIL,GR,2016-06-21-00.00.00,RR,35,75,22.9,LWR,CURVE,800,9/22/2016,3/1/2017,-160.00
ECR,DHN,BRKA-GHD,UP,2016-01-24-00.00.00,7:10,60KG,58.57,100,Jul-16,31.2,RAIL,GR,2016-01-13-00.00.00,LR,194,870,22.9,LWR,CURVE,800,1/24/2016,7/1/2016,-159.00
CR,CSTM,CLA-VSH,DN Harbour Line,2017-07-28-00.00.00,6:30,60KG,17.15,80,Jan-18,1.5,RAIL,GR,2017-04-28-00.00.00,RR,27,352,22.32,LWR,STRAIGHT,800,7/28/2017,1/1/2018,-157.00
SWR,SBC,OML-LOGH,SL,2016-06-30-00.00.00,9:40,52KG,9.39,110,Dec-16,72.35,RAIL,GR,2015-11-19-00.00.00,LR,161,116,22.9,LWR,CURVE,525,6/30/2016,12/1/2016,-154.00
ECR,DHN,BRKA-GHD,Rev Line,2020-12-31-00.00.00,3:20,60KG,64.67,100,Jun-21,6.07,SEJ,GR,2020-11-21-00.00.00,RR,296,871,22.9,LWR,STRAIGHT,800,12/31/2020,6/1/2021,-152.00
ECR,SEE,BJU HJP,UP,2017-03-03-00.00.00,7:00,60KG,29.23,110,Aug-17,21.14,RAIL,GR,2017-01-06-00.00.00,LR,219,5,22.32,LWR,STRAIGHT,800,3/3/2017,8/1/2017,-151.00
SR,MAS,KOK-GDR,UP,2017-04-03-00.00.00,18:00,60KG,18.03,130,Sep-17,2.95,RAIL,GR,2017-03-28-00.00.00,LR,121,843,22.9,SWR,STRAIGHT,800,4/3/2017,9/1/2017,-151.00
SWR,SBC,SBC-ASK,DN,2016-10-03-00.00.00,6:10,60KG,7.96,110,Mar-17,4.64,RAIL,GR,2016-06-20-00.00.00,LR,33,64,22.9,LWR,STRAIGHT,800,10/3/2016,3/1/2017,-149.00
SWR,SBC,SBC-ASK,DN,2017-02-02-00.00.00,8:25,60KG,9.33,110,Jul-17,1.99,RAIL,GR,2017-01-30-00.00.00,RR,22,970,22.9,LWR,STRAIGHT,800,2/2/2017,7/1/2017,-149.00
ECR,SPJ,MFP - SGL,DN,2017-12-07-00.00.00,16:15,60KG,,110,May-18,40.21,SEJ,GR,2017-11-11-00.00.00,LR,145,400,22.32,LWR,STRAIGHT,800,12/7/2017,5/1/2018,-145.00
ECOR,KUR,KUR-NWP,UP,2017-04-17-00.00.00,9:00,60KG,44.51,130,Sep-17,7.36,RAIL,GR,2017-03-25-00.00.00,RR,598,567,25,LWR,STRAIGHT,800,4/17/2017,9/1/2017,-137.00
CR,CSTM,TUH-NEU,UP Harbour Line,2020-11-22-00.00.00,4:35,60KG,11.52,80,Apr-21,0.67,SEJ,GR,2020-04-01-00.00.00,RR,50,242,22.32,LWR,CURVE,800,11/22/2020,4/1/2021,-130.00
CR,CSTM,CSTM-CLA,Slow Line UP,2016-06-25-00.00.00,17:01,60KG,34.17,110,Nov-16,191.26,SEJ,GR,2016-06-11-00.00.00,RR,13,370,22.32,LWR,STRAIGHT,800,6/25/2016,11/1/2016,-129.00
ECOR,KUR,KUR-NWP,DN,2017-04-25-00.00.00,4:45,60KG,37.17,130,Sep-17,5.33,RAIL,GR,2017-02-18-00.00.00,LR,600,225,25,LWR,STRAIGHT,800,4/25/2017,9/1/2017,-129.00
ECOR,KUR,KUR-NWP,DN,2017-04-25-00.00.00,4:45,60KG,37.17,130,Sep-17,5.33,RAIL,GR,2017-02-18-00.00.00,LR,600,225,25,LWR,STRAIGHT,800,4/25/2017,9/1/2017,-129.00
ECOR,KUR,KUR-NWP,UP,2015-12-01-00.00.00,7:05,60KG,37.98,130,Apr-16,67.75,RAIL,GR,2015-07-20-00.00.00,LR,603,473,25,LWR,STRAIGHT,800,12/1/2015,4/1/2016,-122.00
ER,ASN,MDP-GRD,SL,2016-06-03-00.00.00,7:00,52KG,2.29,110,Oct-16,0.19,RAIL,GR,2014-10-15-00.00.00,LR,33,246,22.32,SWR,STRAIGHT,525,6/3/2016,10/1/2016,-120.00
SWR,SBC,SBC-ASK,DN,2016-10-08-00.00.00,3:43,60KG,7.96,110,Feb-17,5.31,RAIL,GR,2016-06-18-00.00.00,RR,30,152,22.9,LWR,STRAIGHT,800,10/8/2016,2/1/2017,-116.00
CR,CSTM,KYN-MMR,DN,2017-02-21-00.00.00,10:25,60KG,27.41,130,Jun-17,5.89,RAIL,GR,2017-02-13-00.00.00,RR,123,380,22.32,LWR,CURVE,800,2/21/2017,6/1/2017,-100.00
